adm_cd,avg_living_pop,avg_65plus_pop,ratio_65plus
1154568000,15046.64887930313,2756.5012764465064,0.1832
1154569000,10021.295290947963,1725.4523329785297,0.1722
1154570000,11341.830258360627,2289.8619529657935,0.2019
1154571000,11641.797945360262,2426.687538746361,0.2084
1156051500,18768.452896697596,2917.14806790393,0.1554
1156053500,51348.78656822234,5810.593926610262,0.1132
1156054000,93270.06469324054,9036.388916512009,0.0969
1156055000,24251.10245242904,3271.46560272016,0.1349
1156056000,36911.76791366448,4274.1826815411205,0.1158
1156058500,14553.181141848618,2437.512299490538,0.1675
1156060500,39329.845250127364,5265.164814665211,0.1339
1156061000,19079.381020978894,2306.8722648653566,0.1209
1156062000,27863.03904405932,2743.1205906113537,0.0985
1156063000,18149.07932561863,3091.6258873271468,0.1703
1156065000,13156.240946870452,2292.544791011645,0.1743
1156066000,7753.095597780204,1454.797708224163,0.1876
1156067000,9563.664175836973,1640.6313714792575,0.1715
1156068000,20313.144230422124,2933.6535816957785,0.1444
1156069000,16334.187482305313,2270.2097667849343,0.139
1156070000,15762.187729839885,2937.4721191229983,0.1864
1156071000,18554.97286062591,3012.793836672125,0.1624
1156072000,24247.349746706695,3949.6103588700876,0.1629
1159051000,35370.00496595706,4549.3291629912665,0.1286
1159052000,17415.078061299126,2758.814510980713,0.1584
1159053000,44183.68962699236,6750.38880021834,0.1528
1159054000,21163.379192922126,3336.1516587336246,0.1576
1159055000,17468.826805558587,3073.22790356623,0.1759
1159056000,21982.10437570961,3746.1581743722704,0.1704
1159060500,33071.73378086791,4560.818757296215,0.1379
1159062000,24198.17524979076,3605.1541042394465,0.149
1159063000,31975.63239058406,5763.3944871542935,0.1802
1159064000,19250.112833478895,3636.1954359352258,0.1889
1159065000,13370.790363700873,2343.2259742449055,0.1752
1159065100,10963.656239501455,1799.9684904475982,0.1642
1159066000,40182.49084142104,5923.690210471252,0.1474
1159067000,18946.606059406844,2962.591142157933,0.1564
1159068000,24106.56096040757,3752.6463051310047,0.1557
1162052500,17629.598517085153,2769.600128893741,0.1571
1162054500,10975.948538891922,1932.3668952056041,0.1761
1162056500,22517.847515784208,3937.564237445415,0.1749
1162057500,23301.193497298034,3308.356880522198,0.142
1162058500,23846.39826717613,2227.451328202329,0.0934
1162059500,38630.95023064956,4904.462437445415,0.127
1162060500,27867.89031624818,4614.3973875,0.1656
1162061500,15435.624998926492,2185.2285665756913,0.1416
1162062500,24060.166476746723,3356.890719687045,0.1395
1162063000,23502.143721333698,3655.3536718067685,0.1555
1162064500,21962.26465947962,2838.9414381368265,0.1293
1162065500,16479.486770931428,2430.6020041809065,0.1475
1162066500,17286.036222825693,2380.1647770014556,0.1377
1162068500,20395.733948107714,3042.2805653748183,0.1492
1162069500,28049.543419659753,2870.7564094068416,0.1023
1162071500,10284.57194959971,1757.3841886553857,0.1709
1162072500,27869.517329967246,3294.026232432678,0.1182
1162073500,33142.9762985262,3279.3544463791845,0.0989
1162074500,19728.925018040394,4392.0578913391555,0.2226
1162076500,20691.3613338246,3498.4839667394467,0.1691
1162077500,17118.1405580877,3185.8016895378455,0.1861
1165051000,31679.67913289665,4202.66294922671,0.1327
1165052000,45367.83642166121,4393.038067585517,0.0968
1165053000,63930.75533474345,7184.4748995815135,0.1124
1165053100,41268.405588591704,4263.1593687318045,0.1033
1165054000,32349.752668513465,3661.4454791211792,0.1132
1165055000,4660.658328156841,687.2405418486171,0.1475
1165056000,32378.783705140104,3247.5183505276564,0.1003
1165057000,17626.17588595342,2143.113136062591,0.1216
1165058000,24626.15734282205,3431.203368868268,0.1393
1165058100,43214.64422140648,5860.455373671761,0.1356
1165059000,18043.304618377002,2800.9729806313685,0.1552
1165060000,20088.88629003821,2940.202514683406,0.1464
1165061000,20857.15121563944,3409.4775113374944,0.1635
1165062000,18605.790418322416,3120.372244405022,0.1677
1165062100,26533.261214374088,4018.5142460243815,0.1515
1165065100,53479.37225641375,6937.866401328239,0.1297
1165065200,37949.57669062045,4196.839685516739,0.1106
1165066000,24939.321029758008,3579.338193249636,0.1435
1168051000,35963.997325373,3985.0438124999996,0.1108
1168052100,42868.56836743086,3944.9923473071326,0.092
1168053100,44651.9663463155,4241.784720023654,0.095
1168054500,42275.0262341794,5223.195712609171,0.1236
1168056500,42014.29996853165,4671.048713655386,0.1112
1168058000,39421.93147239811,3195.859209106623,0.0811
1168059000,40386.30151106259,3980.7268076874093,0.0986
1168060000,28996.301204175765,2811.886928129549,0.097
1168061000,49537.61308098617,5214.054374808952,0.1053
1168063000,39609.06265113719,2945.3882008278747,0.0744
1168064000,104733.01428008551,7347.337727820233,0.0702
1168065000,53853.47190156477,4608.123061490175,0.0856
1168065500,35286.71084738901,4922.0320650564045,0.1395
1168065600,29735.736960098253,4007.652062963974,0.1348
1168066000,8906.178183888282,1522.9245543031295,0.171
1168067000,28987.261837991267,4659.319259843523,0.1607
1168069000,16234.874714656113,2275.561648389738,0.1402
1168070000,45815.695023253276,6610.751747161572,0.1443
1168072000,24718.475383660847,4385.0099269923585,0.1774
1168073000,15524.29730672307,3009.168430594978,0.1938
1168074000,16436.81113606259,2491.7300902565503,0.1516
1168075000,23146.060091621177,4938.008321988718,0.2133
1171051000,14998.438631668485,2841.857576683042,0.1895
1171052000,35933.32599102984,5835.024000836973,0.1624
1171053100,12114.592558988355,2151.7112989537845,0.1776
1171053200,17209.451604321326,3204.635264101164,0.1862
1171054000,12224.412068058587,2412.639628047671,0.1974
1171055000,14703.954537236172,3105.927327783843,0.2112
1171056100,17557.038882268924,2556.761485098253,0.1456
1171056200,36209.294554676126,4194.429472962154,0.1158
1171056600,19022.090966375545,3426.6442549399567,0.1801
1171057000,36943.8370367631,6088.1748097343525,0.1648
1171058000,29267.059570205605,3808.2068764828964,0.1301
1171059000,17957.4426165393,2740.1686041848616,0.1526
1171060000,28762.250384052037,3808.9607650109174,0.1324
1171061000,29541.930494095708,3822.625104548763,0.1294
1171062000,37120.457974899924,4958.93770062773,0.1336
1171063100,29674.105563800946,4531.973043950145,0.1527
1171063200,26614.01008169578,4338.798345851528,0.163
1171064100,20638.69756047125,2923.03367224345,0.1416
1171064200,42160.59860149199,4299.129005203785,0.102
1171064600,32972.39020745997,4732.093190611354,0.1435
1171064700,42972.958097671035,3875.5431315047304,0.0902
1171065000,35451.96605090065,4580.464244204876,0.1292
1171067000,31394.147520542214,3552.259849918122,0.1132
1171068000,45423.212906231805,6017.779650554949,0.1325
1171069000,20181.715677256187,2806.9397476528384,0.1391
1171071000,40721.40901150837,4849.648031149927,0.1191
1171072000,9979.880373471617,2082.6442506277294,0.2087
1174051500,50166.899701173585,7754.642119022926,0.1546
1174052000,39391.86688953784,6201.044894859899,0.1574
1174053000,26564.59564433224,4893.907665247452,0.1842
1174054000,16201.897632741993,2668.8250278475252,0.1647
1174055000,24840.775157851163,3083.377391375546,0.1241
1174056000,20918.10757072179,3317.3879527292574,0.1586
1174057000,26698.52102357525,4692.694975739273,0.1758
1174058000,14650.602848890101,2300.5798509825327,0.157
1174059000,14552.535687236172,2108.3056290938866,0.1449
1174060000,31473.582160362083,5748.372139992722,0.1826
1174061000,44256.855752947595,7585.224603548035,0.1714
1174062000,27338.726918540757,4675.765876519286,0.171
1174064000,24035.003233942865,3983.451243349709,0.1657
1174065000,24390.48805433042,4287.980993813682,0.1758
1174066000,26909.407121160846,4434.6919130276565,0.1648
1174068500,55432.44200322052,10487.472963082242,0.1892
1174069000,4976.974860635008,854.8863443777293,0.1718
1174070000,27149.04412963064,5328.052656177219,0.1963
